work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,EN,FT,Data Science Consultant,64369,DE,50,DE,L
2020,SE,FT,Data Scientist,68428,GR,100,US,L
2021,EN,FT,Machine Learning Engineer,125000,US,100,US,S
2021,SE,FT,Data Analytics Manager,120000,US,100,US,M
2020,MI,FT,Research Scientist,450000,US,0,US,M
2020,MI,FT,Data Analyst,46759,FR,50,FR,L
2020,MI,FT,Data Engineer,74130,AT,50,AT,L
2021,SE,FT,Data Science Engineer,127543,CA,50,CA,L
2021,SE,FT,Manager Data Science,144000,US,100,US,L
2021,EN,FT,Data Scientist,13400,UA,100,UA,L
2021,MI,FT,Data Scientist,75966,CA,100,CA,L
2021,MI,FT,Data Scientist,150000,US,100,US,M
2020,MI,FT,Data Science Consultant,103000,US,100,US,L
2021,SE,FT,Data Engineering Manager,153000,US,100,US,L
2021,MI,FT,Data Engineer,90000,US,100,US,L
2021,EN,FT,Data Analyst,90000,US,100,US,S
2021,EN,FT,Data Analyst,60000,US,100,US,S
2021,MI,FT,Data Scientist,50000,NG,100,NG,L
2021,MI,FT,Applied Data Scientist,54376,GB,50,CA,L
2021,MI,FT,Machine Learning Engineer,47681,ES,100,ES,S
2021,MI,FT,Data Engineer,28801,PL,100,PL,L
2021,MI,FT,Data Analytics Engineer,110000,US,100,US,L
2021,EN,FT,Research Scientist,83000,GB,50,GB,L
2020,EN,FT,Machine Learning Engineer,250000,US,50,US,L
2021,EN,FT,Data Analyst,59601,FR,50,FR,M
2021,SE,FT,Data Analyst,80000,BG,100,US,S
2020,EN,FT,Data Analyst,10000,NG,100,NG,S
2020,EN,FT,Machine Learning Engineer,138000,US,100,US,S
2021,MI,FT,Data Engineer,140000,US,100,US,L
2021,SE,FT,Data Analytics Engineer,79866,DE,100,DE,L
2021,SE,FT,Lead Data Analyst,170000,US,100,US,L
2021,EN,FT,Data Analyst,80000,US,100,US,M
2020,MI,FT,Data Scientist,45760,PH,100,US,S
2021,MI,FT,BI Data Analyst,100000,US,100,US,M
2021,SE,FT,Data Scientist,53641,FR,50,FR,L
2021,EN,FT,Machine Learning Scientist,225000,US,100,US,L
2021,EN,FT,Data Science Consultant,77481,DE,100,DE,S
2020,MI,FT,Machine Learning Infrastructure Engineer,50180,PT,0,PT,M
2021,SE,FT,Marketing Data Analyst,89402,GR,100,DK,L
2021,SE,FT,Lead Data Engineer,103750,GB,100,GB,S
2021,SE,FT,Director of Data Engineering,114125,GB,100,GB,M
2021,SE,FT,Machine Learning Engineer,95362,DE,50,DE,L
2021,EN,FT,Data Engineer,30509,IN,100,IN,L
2021,SE,FT,Data Engineer,150000,US,100,US,M
2021,SE,FT,Data Engineer,115000,US,100,US,S
2021,MI,FT,Research Scientist,187917,CA,100,CA,L
2021,MI,FT,Data Analyst,51814,GB,50,GB,L
2020,MI,FT,Data Engineer,106000,US,100,US,L
2020,MI,FT,Data Engineer,112872,GB,50,GB,L
2021,MI,FT,BI Data Analyst,36732,HU,50,US,L
2021,SE,FT,Data Engineer,150000,US,100,US,L
2021,MI,FT,Computer Vision Software Engineer,96554,DE,100,US,S
2021,EN,FT,Computer Vision Software Engineer,70000,US,100,US,M
2021,MI,FT,Financial Data Analyst,450000,US,100,US,L
2020,MI,FT,Data Scientist,76958,GB,100,GB,S
2021,MI,FT,Cloud Data Engineer,89514,SG,50,SG,L
2021,EN,FT,Data Scientist,29831,IN,50,IN,L
2021,SE,FT,Lead Data Engineer,276000,US,0,US,L
2020,SE,FT,Data Engineer,188000,US,100,US,L
2021,SE,FT,Cloud Data Engineer,160000,BR,100,US,S
2020,MI,FT,Data Scientist,105000,US,100,US,L
2021,MI,FT,Data Engineer,200000,US,100,US,L
2021,SE,FT,Data Engineering Manager,174000,US,100,US,L
2021,MI,FT,Data Analyst,93000,US,100,US,L
2021,EN,FT,Data Scientist,28475,IN,100,IN,M
2021,SE,FT,Research Scientist,61270,PT,50,PT,L
2021,EN,FT,Data Scientist,90000,US,100,US,S
2020,MI,FT,Data Engineer,70139,FR,50,FR,L
2020,EN,FT,Data Analyst,6072,IN,0,IN,S
2020,SE,FT,Data Engineer,33511,MX,0,MX,S
2021,SE,FT,Principal Data Analyst,170000,US,100,US,M
2021,SE,FT,Data Engineer,96833,GB,50,GB,L
2021,MI,FT,Data Engineer,13105,TR,0,TR,M
2021,EN,FT,Data Scientist,36952,FR,50,FR,L
2021,MI,FT,Data Engineer,72625,GB,50,GB,L
2020,EN,FT,Data Analyst,91000,US,100,US,L
2021,SE,FT,Big Data Architect,99956,CA,50,CA,M
2021,SE,FT,Data Scientist,165000,US,100,US,L
2021,MI,FT,Data Analyst,80000,US,100,US,L
2021,SE,FT,Data Scientist,103954,CA,100,CA,L
